Gene	Accession
ASXL1	NM_015338
ASXL2	NM_018263
BCOR	NM_001123385
BCORL1	NM_021946
BRCC3	NM_024332
CEBPA	NM_004364
CREBBP	NM_004380
CTCF	NM_006565
CUX1	NM_181552
DNMT3A	NM_022552
EED	NM_003797
EP300	NM_001429
ETV6	NM_001987
EZH2	NM_001203247
GATA1	NM_002049
GATA2	NM_001145661
IKZF1	NM_006060
IKZF2	NM_016260
IKZF3	NM_012481
KDM6A	NM_021140
LUC7L2	NM_016019
KMT2A	NM_005933
KMT2D	NM_003482
NF1	NM_000267
PDS5B	NM_015032
PDSS2	NM_020381
PHF6	NM_001015877
PHIP	NM_017934
PRPF40B	NM_001031698
PTEN	NM_000314
RAD21	NM_006265
RUNX1	NM_001001890
SETD2	NM_014159
SETDB1	NM_001145415
SF1	NM_004630
SF3A1	NM_005877
SMC3	NM_005445
STAG1	NM_005862
STAG2	NM_006603
SUZ12	NM_015355
TET2	NM_001127208
TP53	NM_001126112
WT1	NM_024426
ZRSR2	NM_005089
